,Stock,Weightage,Price,toBeInvested,noOfSharesToBuy,Money Invested
0,RELIANCE,0.1286,2560.3999,64299.99999999999,25.0,64009.9975
1,HDFCBANK,0.081,1472.15,40500.0,27.0,39748.05
2,INFY,0.0766,1464.2,38300.0,26.0,38069.200000000004
3,ICICIBANK,0.069,874.34998,34500.0,39.0,34099.64922
4,TCS,0.0491,3131.7,24550.0,7.0,21921.899999999998
5,KOTAKBANK,0.0351,1902.85,17550.0,9.0,17125.649999999998
6,ITC,0.0303,317.60001,15150.0,47.0,14927.20047
7,LT,0.0274,1912.95,13700.0,7.0,13390.65
8,HINDUNILVR,0.0267,2606.0,13350.0,5.0,13030.0
9,AXISBANK,0.0257,744.15002,12850.0,17.0,12650.550340000002
10,SBIN,0.0254,533.29999,12700.0,23.0,12265.89977
11,BAJFINANCE,0.0237,7181.2998,11850.0,1.0,7181.2998
12,BHARTIARTL,0.0233,735.04999,11650.0,15.0,11025.74985
13,ASIANPAINT,0.0195,3446.55,9750.0,2.0,6893.1
14,HCLTECH,0.0153,926.04999,7650.0,8.0,7408.39992
15,TITAN,0.0137,2622.0,6850.0,2.0,5244.0
16,TATASTEEL,0.0137,106.4,6850.0,64.0,6809.6
17,MARUTI,0.0137,9024.5,6850.0,0.0,0.0
18,SUNPHARMA,0.0134,871.84998,6700.0,7.0,6102.94986
19,BAJAJFINSV,0.012,1740.64,6000.0,3.0,5221.92
20,TECHM,0.0105,1052.9,5250.0,4.0,4211.6
21,TATAMOTORS,0.0105,466.89999,5250.0,11.0,5135.89989
22,POWERGRID,0.0104,226.10001,5200.0,22.0,4974.20022
23,ULTRACEMCO,0.0102,6632.5,5100.0,0.0,0.0
24,WIPRO,0.0101,410.45001,5050.0,12.0,4925.40012
25,NTPC,0.0099,160.7,4950.0,30.0,4821.0
26,HINDALCO,0.0094,421.95001,4700.0,11.0,4641.45011
27,JSWSTEEL,0.0094,661.59998,4700.0,7.0,4631.19986
28,NESTLEIND,0.0087,19732.949,4350.0,0.0,0.0
29,GRASIM,0.0085,1685.0,4250.0,2.0,3370.0
30,INDUSINDBK,0.0085,1111.4,4250.0,3.0,3334.2000000000003
31,ADANIPORTS,0.0082,837.79999,4100.0,4.0,3351.19996
32,ONGC,0.0078,134.7,3900.0,28.0,3771.5999999999995
33,HDFCLIFE,0.0072,575.59998,3600.0,6.0,3453.5998799999998
34,DIVISLAB,0.0077,3599.2,3850.0,1.0,3599.2
35,CIPLA,0.0068,1023.0,3400.0,3.0,3069.0
36,DRREDDY,0.0067,4202.1001,3350.0,0.0,0.0
37,TATACONSUM,0.0066,838.40002,3300.0,3.0,2515.20006
38,SBILIFE,0.0065,1296.55,3250.0,2.0,2593.1
39,UPL,0.006,756.45001,3000.0,3.0,2269.35003
40,APOLLOHOSP,0.0061,4277.1499,3050.0,0.0,0.0
41,BRITANNIA,0.0052,3718.1499,2600.0,0.0,0.0
42,EICHERMOT,0.0049,3411.6001,2450.0,0.0,0.0
43,COALINDIA,0.0051,230.3,2550.0,11.0,2533.3
44,BPCL,0.0046,331.35001,2300.0,6.0,1988.10006
45,SHREECEM,0.0046,21586.15,2300.0,0.0,0.0
46,HEROMOTOCO,0.0043,2876.6499,2150.0,0.0,0.0
47,HDFCBANK,0.081,1472.15,40500.0,27.0,39748.05
